No.,Year,Group,Identification,Asset,SurfaceShannon,SurfaceNumber,SurfaceMax,SurfaceEvenness,Euphotic_zoneShannon,Euphotic_zoneNumber,Euphotic_zoneMax,Euphotic_zoneEvenness,AverageShannon,AverageNumber,AverageMax,AverageEvenness
1,2022,Phytoplankton,Morphology,GBS,3.16,69,4.23,0.75,3.16,76,4.33,0.73,0,0,0,0
2,2022,Phytoplankton,Morphology,ART,3.17,51,3.93,0.81,1.14,48,3.87,0.29,0,0,0,0
3,2022,Phytoplankton,Morphology,GBN,3.12,51,3.93,0.79,1.25,42,3.74,0.33,0,0,0,0
4,2022,Phytoplankton,Morphology,Ref_in,2.69,24,3.18,0.85,1.49,26,3.26,0.46,0,0,0,0
5,2022,Phytoplankton,Morphology,Losin,2.13,35.00,3.56,0.60,2.06,38.00,3.64,0.57,0,0,0,0
6,2022,Phytoplankton,Morphology,Ref_Losin,2.59,33,3.5,0.74,2.57,28,3.33,0.77,0,0,0,0
7,2019,Phytoplankton,Morphology,GBS,3.16,69,4.23,0.75,3.16,76,4.33,0.73,0,0,0,0
8,2019,Phytoplankton,Morphology,ART,3.17,51,3.93,0.81,1.14,48,3.87,0.29,0,0,0,0
9,2019,Phytoplankton,Morphology,GBN,3.12,51,3.93,0.79,1.25,42,3.74,0.33,0,0,0,0
10,2019,Phytoplankton,Morphology,Ref_in,2.69,24,3.18,0.85,1.49,26,3.26,0.46,0,0,0,0
11,2019,Phytoplankton,Morphology,Losin,2.13,35.00,3.56,0.60,2.06,38.00,3.64,0.57,0,0,0,0
12,2019,Phytoplankton,Morphology,Ref_Losin,2.59,33,3.5,0.74,2.57,28,3.33,0.77,0,0,0,0