Asset,Platform,Station,Latitude,Longitude
G2S,PPS,PPS1,7.489899,102.616965
G2S,PPS,PPS2,7.491508,102.61538
G2S,PPS,PPS3,7.494728,102.612209
ART,APP,APP1,8.258577,102.52677
ART,APP,APP2,8.260187,102.525183
ART,APP,APP3,8.263407,102.522007
G2N,PP,PP1,8.026091,102.317768
G2N,PP,PP2,8.028021,102.31586
G2N,PP,PP3,8.030594,102.313319
G2S,WPS6,WPS6-1,7.701963,102.861036
G2S,WPS6,WPS6-2,7.703572,102.859452
G2S,WPS6,WPS6-3,7.706791,102.856282
ART,AWP1N,AWP1N-1,8.549264,102.304539
ART,AWP1N,AWP1N-2,8.550873,102.302949
ART,AWP1N,AWP1N-3,8.554093,102.299769
G2N,WP37,WP37-1,8.142877,102.260081
G2N,WP37,WP37-2,8.144485,102.258492
G2N,WP37,WP37-3,8.147704,102.255313
REF_InField,REF_InField,REF_InField,0,0
Losin Island,Losin Island,Losin Island1,0,0
Losin Island,Losin Island,Losin Island2,0,0
Losin Island,Losin Island,Losin Island3,0,0
REF_Losin Island,REF_Losin Island,REF_Losin Island,0,0