No.,Year,Group,Identification,Asset,Platform,SurfaceShannon,SurfaceNumber,SurfaceMax,SurfaceEvenness,Euphotic_zoneShannon,Euphotic_zoneNumber,Euphotic_zoneMax,Euphotic_zoneEvenness,AverageShannon,AverageNumber,AverageMax,AverageEvenness
1,2022,Phytoplankton,Morphology,G2S,PPS,3.04,57.00,4.04,0.75,3.03,63.00,4.14,0.73,0,0,0,0
2,2022,Phytoplankton,Morphology,ART,APP,3.10,39.00,3.66,0.85,1.02,40.00,3.69,0.28,0,0,0,0
3,2022,Phytoplankton,Morphology,G2N,PP,3.03,37.00,3.61,0.84,1.17,33.00,3.50,0.33,0,0,0,0
4,2022,Phytoplankton,Morphology,G2S,WPS6,2.64,35.00,3.56,0.74,1.89,38.00,3.64,0.52,0,0,0,0
5,2022,Phytoplankton,Morphology,ART,AWP1N,2.94,38.00,3.64,0.81,1.44,33.00,3.50,0.41,0,0,0,0
6,2022,Phytoplankton,Morphology,G2N,WP37,2.92,41.00,3.71,0.79,1.35,29.00,3.37,0.40,0,0,0,0
7,2022,Phytoplankton,Morphology,REF_Infield,REF_Infield,2.69,24.00,3.18,0.85,1.49,26.00,3.26,0.46,0,0,0,0
8,2022,Phytoplankton,Morphology,Losin_Island,Losin_Island,2.13,35.00,3.56,0.60,2.06,38.00,3.64,0.57,0,0,0,0
9,2022,Phytoplankton,Morphology,REF_Losin_Island,REF_Losin_Island,2.59,33.00,3.50,0.74,2.57,28.00,3.33,0.77,0,0,0,0
1,2019,Phytoplankton,Morphology,G2S,PPS,3.04,57.00,4.04,0.75,3.03,63.00,4.14,0.73,0,0,0,0
2,2019,Phytoplankton,Morphology,ART,APP,3.10,39.00,3.66,0.85,1.02,40.00,3.69,0.28,0,0,0,0
3,2019,Phytoplankton,Morphology,G2N,PP,3.03,37.00,3.61,0.84,1.17,33.00,3.50,0.33,0,0,0,0
4,2019,Phytoplankton,Morphology,G2S,WPS6,2.64,35.00,3.56,0.74,1.89,38.00,3.64,0.52,0,0,0,0
5,2019,Phytoplankton,Morphology,ART,AWP1N,2.94,38.00,3.64,0.81,1.44,33.00,3.50,0.41,0,0,0,0
6,2019,Phytoplankton,Morphology,G2N,WP37,2.92,41.00,3.71,0.79,1.35,29.00,3.37,0.40,0,0,0,0
7,2019,Phytoplankton,Morphology,REF_Infield,REF_Infield,2.69,24.00,3.18,0.85,1.49,26.00,3.26,0.46,0,0,0,0
8,2019,Phytoplankton,Morphology,Losin_Island,Losin_Island,2.13,35.00,3.56,0.60,2.06,38.00,3.64,0.57,0,0,0,0
9,2019,Phytoplankton,Morphology,REF_Losin_Island,REF_Losin_Island,2.59,33.00,3.50,0.74,2.57,28.00,3.33,0.77,0,0,0,0