year,project,platform,station,latitude,longtitude,identification technique,method of collection,major group,kingdom,subkingdom,infrakingdom,superphylum,phylum,subphylum,infraphylum,superclass,class,subclass,infraclass,superorder,order,suborder,infraorder,superfamily,family,subfamily,supergenus,genus,subgenus,species name,subspecies name,density
2020,Test Project 1,Test Platform 1,Test Station 1,Test lat 1,Test long 1,test technique 1,test method 1,test major group 1,test kingdom,-,-,-,phylum,-,-,-,class,-,-,-,order,-,-,-,family,-,-,genus1,-,test species 1,-,150000
2020,Test Project 2,Test Platform 2,Test Station 2,Test lat 2,Test long 2,test technique 2,test method 2,test major group 1,test kingdom,-,-,-,phylum,-,-,-,class,-,-,-,order,-,-,-,family,-,-,genus1,-,test species 2,-,250000
2020,Test Project 3,Test Platform 3,Test Station 3,Test lat 3,Test long 3,test technique 3,test method 3,test major group 1,test kingdom,-,-,-,phylum,-,-,-,class,-,-,-,order,-,-,-,family,-,-,genus2,-,test species 3,-,350000
2020,Test Project 4,Test Platform 4,Test Station 4,Test lat 4,Test long 4,test technique 4,test method 4,test major group 2,test kingdom,-,-,-,phylum,-,-,-,class,-,-,-,order,-,-,-,family,-,-,genus2,-,test species 4,-,450000
2020,Test Project 5,Test Platform 5,Test Station 5,Test lat 5,Test long 5,test technique 5,test method 5,test major group 2,test kingdom,-,-,-,phylum,-,-,-,class,-,-,-,order,-,-,-,family,-,-,genus2,-,test species 5,-,550000
2020,Test Project 5,Test Platform 5,Test Station 5,Test lat 5,Test long 5,test technique 5,test method 5,test major group 2,test kingdom,-,-,-,phylum,-,-,-,class,-,-,-,order,-,-,-,family,-,-,genus3,-,test species 6,-,550000
2020,Test Project 5,Test Platform 5,Test Station 5,Test lat 5,Test long 5,test technique 5,test method 5,test major group 1,test kingdom,-,-,-,phylum,-,-,-,class,-,-,-,order,-,-,-,family,-,-,genus1,-,-,-,1550000
2020,Test Project 5,Test Platform 5,Test Station 5,Test lat 5,Test long 5,test technique 5,test method 5,test major group 1,test kingdom,-,-,-,phylum,-,-,-,class,-,-,-,order,-,-,-,family,-,-,genus3,-,-,-,150000
2020,Test Project 5,Test Platform 5,Test Station 5,Test lat 5,Test long 5,test technique 5,test method 5,test major group 2,test kingdom,-,-,-,phylum,-,-,-,class,-,-,-,order,-,-,-,family2,-,-,genus4,-,-,-,10000
2021,Test Project 5,Test Platform 5,Test Station 5,Test lat 5,Test long 5,test technique 5,test method 5,test major group 1,test kingdom,-,-,-,phylum,-,-,-,class,-,-,-,order,-,-,-,family,-,-,genus1,-,-,-,1550000
2020,Test Project 5,Test Platform 5,Test Station 5,Test lat 5,Test long 5,test technique 5,test method 5,test major group 2,test kingdom,-,-,-,phylum,-,-,-,class,-,-,-,order,-,-,-,family,-,-,genus3,-,test species 7,-,150000
2020,Test Project 5,Test Platform 5,Test Station 5,Test lat 5,Test long 5,test technique 5,test method 5,test major group 2,test kingdom,-,-,-,phylum,-,-,-,class,-,-,-,order,-,-,-,family,-,-,genus3,-,test species 8,-,550000
2020,Test Project 5,Test Platform 5,Test Station 5,Test lat 5,Test long 5,test technique 5,test method 5,test major group 2,test kingdom,-,-,-,phylum,-,-,-,class,-,-,-,order,-,-,-,family,-,-,genus3,-,test species 9,-,350000
2020,Test Project 5,Test Platform 5,Test Station 5,Test lat 5,Test long 5,test technique 5,test method 5,test major group 2,test kingdom,-,-,-,phylum,-,-,-,class,-,-,-,order,-,-,-,family,-,-,genus3,-,test species 10,-,250000
2020,Test Project 5,Test Platform 5,Test Station 5,Test lat 5,Test long 5,test technique 5,test method 5,test major group 2,test kingdom,-,-,-,phylum,-,-,-,class,-,-,-,order,-,-,-,family,-,-,genus3,-,test species 11,-,50000