Year,Project,PlatformAge (y),Platform,Station,Latitude,Longtitude,SamplingDate,InstallationDate,Depth,MethodOfCollection,IdentifiationTechnique,major group,kingdom,xsubkingdom,xinfrakingdom,xsuperphylum,phylum,xsubphylum,xUnaccepted subphylum,xinfraphylum,xUnaccepted Infraphylum,xsuperclass,xUnaccepted Superclass,class,Unaccepted Class,xsubclass,xUnaccepted Subclass,xinfraclass,xsuperorder,xUnaccepted Superorder,order,Unaccepted Order,xsuborder,xinfraorder,xsuperfamily,family,Unaccepted Family,xsubfamily,xsupergenus,xsubgenus,genus,Unaccepted Genus,species name,Unaccepted Species,subspecies name,Unaccepted subSpecies,picture,ThaiName,Density,No_of_species,Diversity_index,pi,ln(pi),pi*ln(pi)
,,,,,,,,,,,,Phytoplankton,Bacteria,Gracilicutes,-,-,Cyanobacteria ,-,-,-,-,-,-,Cyanophyceae ,-,Oscillatoriophycideae,-,-,-,-,Oscillatoriales,-,-,-,-,Oscillatoriaceae,-,-,-,-,Oscillatoria,-,Oscillatoria sp.,-,,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Bacteria,Gracilicutes,-,-,Cyanobacteria ,-,-,-,-,-,-,Cyanophyceae,-,Nostocophycideae,-,-,-,-,Nostocales,-,-,-,-,Nostocaceae,-,-,-,-,Anabeana,-,Anabeana sp.,-,,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Plantae,Viridiplantae,-,-,Chlorophyta,Chlorophytina,-,-,-,-,-,Chlorophyceae,-,-,-,-,-,-,Sphaeropleales,-,-,-,-,Hydrodictyaceae,-,-,-,-,Pediastrum ,-,Pediastrum sp.,-,,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Plantae,Viridiplantae,-,-,Chlorophyta,Chlorophytina,-,-,-,-,-,Chlorophyceae,-,-,-,-,-,-,Chlamydomonadales,-,-,-,-,Volvocaceae,-,-,-,-,Volvox,-,Volvox sp.,-,,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Plantae,Viridiplantae,Streptophyta,-,Charophyta,Chlorophytina,-,-,-,-,-,Conjugatophyceae,no,-,-,-,-,-,Desmidiales,-,-,-,-,Desmidiaceae,-,-,-,-,Staurastrum,-,Staurastrum sp.,-,,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Plantae,Viridiplantae,Streptophyta,-,Charophyta,-,-,-,-,-,-,Conjugatophyceae,no,-,-,-,-,-,Desmidiales,-,-,-,-,Desmidiaceae,-,-,-,-,Closterium,-,Closterium sp.,-,,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa ,Heterokonta,-,Ochrophyta,Khakista,-,-,-,-,-,Bacillariophyceae,-,Coscinodiscophycidae ,no,-,Thalassiosiranae ,no,Thalassiosirales ,no,-,-,-,Stephanodiscaceae ,no,-,-,-,Cyclotella,-,Cyclotella sp.,-,,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa ,Heterokonta,-,Ochrophyta,Khakista,-,-,-,-,-,Bacillariophyceae,-,Coscinodiscophycidae ,no,-,Thalassiosiranae ,no,Thalassiosirales ,no,-,-,-,Lauderiaceae,no,-,-,-,Lauderia,no,Lauderia sp.,-,,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa ,Heterokonta,-,Ochrophyta,Khakista,-,-,-,-,-,Bacillariophyceae,-,Coscinodiscophycidae ,no,-,Thalassiosiranae ,no,Thalassiosirales ,no,-,-,-,Thalassiosiraceae,-,-,-,-,Thalassiosira ,-,Thalassiosira sp.,-,,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa ,Heterokonta,-,Ochrophyta,Khakista,-,-,-,-,-,Bacillariophyceae,-,Coscinodiscophycidae ,no,-,Thalassiosiranae ,no,Thalassiosirales ,no,-,-,-,Thalassiosiraceae,-,-,-,-,Planktoniella,no,Planktoniella sol,no,,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa ,Heterokonta,-,Ochrophyta,Khakista,-,-,-,-,-,Bacillariophyceae,-,Coscinodiscophycidae ,no,-,Thalassiosiranae ,no,Thalassiosirales ,no,-,-,-,Thalassiosiraceae,-,-,-,-,Planktoniella,no,Planktoniella blanda,no,,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa ,Heterokonta,-,Ochrophyta,Khakista,-,-,-,-,-,Bacillariophyceae,-,Coscinodiscophycidae ,no,-,Coscinodiscanae,no,Paraliales ,no,-,-,-,Paraliaceae,no,-,-,-,Paralia,no,Paralia sp.,no,,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa ,Heterokonta,-,Ochrophyta,Khakista,-,-,-,-,-,Bacillariophyceae,-,Coscinodiscophycidae ,no,-,Corethranae,no,Corethrales,no,-,-,-,Corethraceae,no,-,-,-,Corethron,no,Corethron sp.,no,,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa ,Heterokonta,-,Ochrophyta,Khakista,-,-,-,-,-,Bacillariophyceae,-,Coscinodiscophycidae ,no,-,Coscinodiscanae,no,Melosirales,no,-,-,-,Melosiraceae ,no,-,-,-,Melosira,-,Melosira sp.,-,,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa ,Heterokonta,-,Ochrophyta,Khakista,-,-,-,-,-,Bacillariophyceae,-,Coscinodiscophycidae ,no,-,Coscinodiscanae,no,Coscinodiscales,no,-,-,-,Coscinodiscaceae,-,-,-,-,Coscinodiscus ,no,Coscinodiscus gigas,no,,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa ,Heterokonta,-,Ochrophyta,Khakista,-,-,-,-,-,Bacillariophyceae,-,Coscinodiscophycidae ,no,-,Coscinodiscanae,no,Coscinodiscales,no,-,-,-,Coscinodiscaceae,-,-,-,-,Coscinodiscus ,no,Coscinodiscus excentricu,no,,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa ,Heterokonta,-,Ochrophyta,Khakista,-,-,-,-,-,Bacillariophyceae,-,Coscinodiscophycidae ,no,-,Coscinodiscanae,no,Coscinodiscales,no,-,-,-,Coscinodiscaceae,-,-,-,-,Coscinodiscus ,no,Coscinodiscus concinnus,no,,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa ,Heterokonta,-,Ochrophyta,Khakista,-,-,-,-,-,Bacillariophyceae,-,Coscinodiscophycidae ,no,-,Coscinodiscanae,no,Coscinodiscales,no,-,-,-,Heliopeltaceae,no,-,-,-,Actinoptychus,no,Actinoptychus undulatus,no,,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa ,Heterokonta,-,Ochrophyta,Khakista,-,-,-,-,-,Bacillariophyceae,-,Coscinodiscophycidae ,no,-,Coscinodiscanae,no,Asterolamprales,no,-,-,-,Asterolampraceae,no,-,-,-,Asteromphalus,no,Asteromphalus sp.,no,,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa ,Heterokonta,-,Ochrophyta,Khakista,-,-,-,-,-,Bacillariophyceae,-,Coscinodiscophycidae ,no,-,Coscinodiscanae,no,Coscinodiscales ,no,-,-,-,Coscinodiscaceae ,-,-,-,-,Palmeria,no,Palmeria sp.,no,,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Fungi,-,-,-,Ascomycota ,Pezizomycotina,-,-,-,-,-,Dothideomycetes,-,-,-,-,-,-,Botryosphaeriales,-,-,-,-,Phyllostictaceae,-,-,-,-,Guignardia,no,Guinadia sp.,-,,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa ,Heterokonta,-,Ochrophyta,Khakista,-,-,-,-,-,Bacillariophyceae,-,Coscinodiscophycidae ,no,-,Rhizosolenianae,no,Rhizosoleniales,no,-,-,-,Rhizosoleniaceae,no,-,-,-,Dactyliosolen ,no,Dactyliosolen sp.,no,,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa ,Heterokonta,-,Ochrophyta,Khakista,-,-,-,-,-,Bacillariophyceae,-,Coscinodiscophycidae ,no,-,Rhizosolenianae,no,Rhizosoleniales,no,-,-,-,Rhizosoleniaceae,no,-,-,-,Rhizosolenia ,no,Rhizosolenia sp.,no,,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa ,Heterokonta,-,Ochrophyta,Khakista,-,-,-,-,-,Bacillariophyceae,-,Coscinodiscophycidae ,no,-,Rhizosolenianae,no,Rhizosoleniales,no,-,-,-,Rhizosoleniaceae,no,-,-,-,Rhizosolenia ,no,Rhizosolenia imbricata ,no,,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa ,Heterokonta,-,Ochrophyta,Khakista,-,-,-,-,-,Bacillariophyceae,-,Coscinodiscophycidae ,no,-,Rhizosolenianae,no,Rhizosoleniales,no,-,-,-,Rhizosoleniaceae,no,-,-,-,Rhizosolenia ,no,Rhizosolenia robusta,no,,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa ,Heterokonta,-,Ochrophyta,Khakista,-,-,-,-,-,Bacillariophyceae,-,Coscinodiscophycidae ,no,-,Chaetocerotanae,no,Chaetocerotanae incertae sedis ,no,-,-,-,Chaetocerotaceae ,no,-,-,-,Bacteriastrum ,no,Bacteriastrum sp.,no,,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa ,Heterokonta,-,Ochrophyta,Khakista,-,-,-,-,-,Bacillariophyceae,-,Coscinodiscophycidae ,no,-,Chaetocerotanae,no,Chaetocerotanae incertae sedis ,no,-,-,-,Chaetocerotaceae ,no,-,-,-,Chaetoceros,-,Chaetoceros sp.,-,,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa ,Heterokonta,-,Ochrophyta,Khakista,-,-,-,-,-,Bacillariophyceae,-,Coscinodiscophycidae ,no,-,Chaetocerotanae,no,Chaetocerotanae incertae sedis ,no,-,-,-,Chaetocerotaceae ,no,-,-,-,Chaetoceros,-,Chaetoceros laciniosum ,no,,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa ,Heterokonta,-,Ochrophyta,Khakista,-,-,-,-,-,Bacillariophyceae,-,Coscinodiscophycidae ,no,-,Biddulphianae,no,Hemiaulales ,no,-,-,-,Bellerocheaceae ,no,-,-,-,Bellerochea,no,Bellerochea sp.,no,,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa ,Heterokonta,-,Ochrophyta,Khakista,-,-,-,-,-,Bacillariophyceae,-,Coscinodiscophycidae ,no,-,Lithodesmiophycanae ,no,Lithodesmiales ,no,-,-,-,Lithodesmiaceae,no,-,-,-,Ditylum,no,Ditylum brightwellii,no,,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa ,Heterokonta,-,Ochrophyta,Khakista,-,-,-,-,-,Bacillariophyceae,-,Coscinodiscophycidae ,no,-,Biddulphianae,no,Hemiaulales ,no,-,-,-,Hemiaulaceae,no,-,-,-,Eucampia ,no,Eucampia sp.,no,,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa ,Heterokonta,-,Ochrophyta,Khakista,-,-,-,-,-,Bacillariophyceae,-,Coscinodiscophycidae ,no,-,Biddulphianae,no,Hemiaulales ,no,-,-,-,Hemiaulaceae,no,-,-,-,Hemiaulus,-,Hemiaulus sinensis,no,,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa ,Heterokonta,-,Ochrophyta,Khakista,-,-,-,-,-,Bacillariophyceae,-,Coscinodiscophycidae ,no,-,Cymatosirophycanae,no,Cymatosirales,no,-,-,-,Cymatosiraceae,no,-,-,-,Cymatosira ,no,Cymatosira sp.,no,,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa ,Heterokonta,-,Ochrophyta,Khakista,-,-,-,-,-,Bacillariophyceae,-,Coscinodiscophycidae ,no,-,Lithodesmiophycanae ,no,Lithodesmiales ,no,-,-,-,Lithodesmiaceae,no,-,-,-,Helicotheca,no,Helicotheca tamesis,no,,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa ,Heterokonta,-,Ochrophyta,Khakista,-,-,-,-,-,Bacillariophyceae,-,Coscinodiscophycidae ,no,-,Biddulphianae,no,Triceratiales ,-,-,-,-,Triceratiaceae ,no,-,-,-,Odontella ,no,Odontella sinensis,no,,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa ,Heterokonta,-,Ochrophyta,Khakista,-,-,-,-,-,Bacillariophyceae,-,Coscinodiscophycidae ,no,-,Biddulphianae,no,Triceratiales ,-,-,-,-,Triceratiaceae ,no,-,-,-,Odontella ,no,Odontella mobiliensis,no,,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa ,Heterokonta,-,Ochrophyta,Khakista,-,-,-,-,-,Bacillariophyceae,-,Coscinodiscophycidae ,no,-,Biddulphianae,no,Biddulphiales,no,-,-,-,Biddulphiaceae,no,-,-,-,-,-,Bidduphia sp.,-,,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa ,Heterokonta,-,Ochrophyta,Khakista,-,-,-,-,-,Bacillariophyceae,-,Coscinodiscophycidae ,no,-,Biddulphianae,no,Triceratiales,-,-,-,-,Triceratiaceae ,no,-,-,-,Triceratium ,no,Triceratium sp.,no,,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa ,Heterokonta,-,Ochrophyta,Khakista,-,-,-,-,-,Bacillariophyceae,-,Fragilariophycidae,no,-,Fragilariophycanae,no,Fragilariales,no,-,-,-,Fragilariaceae,no,-,-,-,Asterionellopsis ,no,Asterionellopsis sp.,no,,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa ,Heterokonta,-,Ochrophyta,Khakista,-,-,-,-,-,Bacillariophyceae,-,Fragilariophycidae,no,-,Fragilariophycanae,no,Fragilariales,no,-,-,-,Fragilariaceae,no,-,-,-,Centronella,no,Centronella sp.,-,,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa ,Heterokonta,-,Ochrophyta,Khakista,-,-,-,-,-,Bacillariophyceae,-,Fragilariophycidae,no,-,Fragilariophycanae,no,Thalassionematales ,no,-,-,-,Thalassionemataceae,no,-,-,-,Thalassionema ,-,Thalassionema frauenfeldii,-,,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa ,Heterokonta,-,Ochrophyta,Khakista,-,-,-,-,-,Bacillariophyceae,-,Fragilariophycidae,no,-,Fragilariophycanae,no,Thalassionematales ,no,-,-,-,Thalassionemataceae,no,-,-,-,Thalassionema ,-,Thalassionema nitzschioides,-,,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa ,Heterokonta,-,Ochrophyta,Khakista,-,-,-,-,-,Bacillariophyceae,-,Fragilariophycidae,no,-,Fragilariophycanae,no,Thalassionematales ,no,-,-,-,Thalassionemataceae ,no,-,-,-,Thalassiothrix,no,Thalassiothrix sp.,no,,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa ,Heterokonta,-,Ochrophyta,Khakista,-,-,-,-,-,Bacillariophyceae,-,Fragilariophycidae,no,-,Bacillariophycanae,no,Naviculales,no,-,-,-,Naviculaceae,no,-,-,-,Trachyneis,no,Trachyneis sp.,no,,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa ,Heterokonta,-,Ochrophyta,Khakista,-,-,-,-,-,Bacillariophyceae,-,Fragilariophycidae,no,-,Bacillariophycanae,no,Thalassiophysales,no,-,-,-,Catenulaceae,no,-,-,-,Amphora,-,Amphora sp.,no,,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa ,Heterokonta,-,Ochrophyta,Khakista,-,-,-,-,-,Bacillariophyceae,-,Fragilariophycidae,no,-,Bacillariophycanae,no,Naviculales ,no,-,-,-,Diploneidaceae ,no,-,-,-,Diploneis,-,Diploneis sp.,-,,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa ,Heterokonta,-,Ochrophyta,Khakista,-,-,-,-,-,Bacillariophyceae,-,Fragilariophycidae,no,-,Bacillariophycanae,no,Lyrellales,no,-,-,-,Lyrellaceae,no,-,-,-,Lyrella,-,Lyrella sp.,-,,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa ,Heterokonta,-,Ochrophyta,Khakista,-,-,-,-,-,Bacillariophyceae,-,Fragilariophycidae,no,-,Bacillariophycanae,no,Naviculales,no,-,-,-,Naviculaceae ,no,-,-,-,Navicula,-,Navicula sp.,-,,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa ,Heterokonta,-,Ochrophyta,Khakista,-,-,-,-,-,Bacillariophyceae,-,Fragilariophycidae,no,-,Bacillariophycanae,no,Naviculales,no,-,-,-,Pleurosigmataceae,no,-,-,-,Pleurosigma,-,Plurosigma sp.,-,,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa ,Heterokonta,-,Ochrophyta,Khakista,-,-,-,-,-,Bacillariophyceae,-,Fragilariophycidae,no,-,Bacillariophycanae,no,Naviculales,no,-,-,-,Pleurosigmataceae ,no,-,-,-,Gyrosigma,-,Gyrosigma sp.,-,,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa ,Heterokonta,-,Ochrophyta,Khakista,-,-,-,-,-,Bacillariophyceae,-,Fragilariophycidae,no,-,Bacillariophycanae,no,Naviculales,no,-,-,-,Naviculaceae ,no,-,-,-,Meuniera ,-,Meunier sp.,-,,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa ,Heterokonta,-,Ochrophyta,Khakista,-,-,-,-,-,Bacillariophyceae,-,Fragilariophycidae,no,-,Bacillariophycanae,no,Bacillariales,no,-,-,-,Bacillariaceae,no,-,-,-,Bacillaria ,-,Bacillaria paxillifera,no,,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa ,Heterokonta,-,Ochrophyta,Khakista,-,-,-,-,-,Bacillariophyceae,-,Fragilariophycidae,no,-,Bacillariophycanae,no,Bacillariales,no,-,-,-,Bacillariaceae,no,-,-,-,Cylindrotheca,no,Cylindrotheca sp.,no,,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa ,Heterokonta,-,Ochrophyta,Khakista,-,-,-,-,-,Bacillariophyceae,-,Fragilariophycidae,no,-,Bacillariophycanae,no,Bacillariales,no,-,-,-,Bacillariaceae,no,-,-,-,Nitschia,no,Nitzchia sp.,no,,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Animalia ,-,-,-,Platyhelminthes,Rhabditophora,-,-,-,Neodermata,-,Monogenea ,-,Monopisthocotylea,-,-,-,-,Capsalidea,-,-,-,-,Capsalidae,-,-,-,-,Pseudonitzschia ,-,Pseudonitzchia sp.,-,,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa ,Heterokonta,-,Ochrophyta,Khakista,-,-,-,-,-,Bacillariophyceae,-,Bacillariophycidae,no,-,Bacillariophycanae,no,Surirellales,no,-,-,-,Surirellaceae,no,-,-,-,Campylodiscus,no,Campylodiscus sp.,no,,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa ,Heterokonta,-,Ochrophyta,Khakista,-,-,-,-,-,Bacillariophyceae,-,Bacillariophycidae,no,-,Bacillariophycanae,no,Surirellales,no,-,-,-,Entomoneidaceae,no,-,-,-,Entomoneis,-,Entomoneis sp.,-,,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa ,Heterokonta,-,Ochrophyta,Khakista,-,-,-,-,-,Bacillariophyceae,-,Bacillariophycidae,no,-,Bacillariophycanae,no,Surirellales,no,-,-,-,Surirellaceae,no,-,-,-,Surirella ,-,Surirella sp.,-,,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa ,Alveolata,-,Myzozoa,Dinozoa,no,Dinoflagellata,no,-,-,Dinophyceae,-,-,-,-,-,-,Prorocentrales,-,-,-,-,Prorocentraceae,-,-,-,-,Prorocentrum ,-,Prorocentrum sp.,-,,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa ,Alveolata,-,Myzozoa,Dinozoa,no,Dinoflagellata,no,-,-,Dinophyceae,-,-,-,-,-,-,Prorocentrales,-,-,-,-,Prorocentraceae,-,-,-,-,Prorocentrum ,-,Prorocentrum  micans,-,,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa ,Alveolata,-,Myzozoa,Dinozoa,no,Dinoflagellata,no,-,-,Dinophyceae,-,-,-,-,-,-,Dinophysiales,-,-,-,-,Dinophysaceae,-,-,-,-,Dinophysis,-,Dinophysis caudata,-,,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa ,Alveolata,-,Myzozoa,Dinozoa,no,Dinoflagellata,no,-,-,Dinophyceae,-,-,-,-,-,-,Dinophysiales,-,-,-,-,Dinophysaceae,-,-,-,-,Ornithocercus ,-,Ornithocercus sp.,-,,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa ,Alveolata,-,Myzozoa,Dinozoa,no,Dinoflagellata,no,-,-,Dinophyceae,-,-,-,-,-,-,Dinophysiales,-,-,-,-,Amphisoleniaceae,-,-,-,-,Amphisolenia ,-,Amphisolenia bidentata,-,,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa ,Alveolata,-,Myzozoa,Dinozoa,no,Dinoflagellata,no,-,-,Dinophyceae,-,-,-,-,-,-,Gonyaulacales ,-,-,-,-,Ceratiaceae,-,-,-,-,Ceratium ,-,Ceratium tripos,-,,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa ,Alveolata,-,Myzozoa,Dinozoa,no,Dinoflagellata,no,-,-,Dinophyceae,-,-,-,-,-,-,Gonyaulacales ,-,-,-,-,Ceratiaceae,-,-,-,-,Ceratium ,-,Ceratium fusus,-,,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa ,Alveolata,-,Myzozoa,Dinozoa,no,Dinoflagellata,no,-,-,Dinophyceae,-,-,-,-,-,-,Gonyaulacales ,-,-,-,-,Ceratiaceae,-,-,-,-,Ceratium ,-,Ceratium furca,-,,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa ,Alveolata,-,Myzozoa,Dinozoa,no,Dinoflagellata,no,-,-,Dinophyceae,-,-,-,-,-,-,Gonyaulacales ,-,-,-,-,Pyrophacaceae,-,-,-,-,Pyrophacus,-,Pyrophacus sp.,-,,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa ,Alveolata,-,Myzozoa,Dinozoa,no,Dinoflagellata,no,-,-,Dinophyceae,-,-,-,-,-,-,Gonyaulacales ,-,-,-,-,Ostreopsidaceae,-,-,-,-,Alexandrium,-,Alexandrium sp.,-,,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa ,Alveolata,-,Myzozoa,Dinozoa,no,Dinoflagellata,no,-,-,Dinophyceae,-,-,-,-,-,-,Gonyaulacales ,-,-,-,-,Gonyaulacaceae,-,-,-,-,Gonyaulax,-,Gonyaulax sp.,-,,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa ,Alveolata,-,Myzozoa,Dinozoa,no,Dinoflagellata,no,-,-,Dinophyceae,-,-,-,-,-,-,Peridiniales,-,-,-,-,Oxytoxaceae,-,-,-,-,Corythodinium ,-,Corythodinium sp.,-,,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa ,Alveolata,-,Myzozoa,Dinozoa,no,Dinoflagellata,no,-,-,Dinophyceae,-,-,-,-,-,-,Peridiniales,-,-,-,-,Oxytoxaceae ,-,-,-,-,Oxytoxum,-,Oxytoxum sp.,-,,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa ,Alveolata,-,Myzozoa,Dinozoa,no,Dinoflagellata,no,-,-,Dinophyceae,-,-,-,-,-,-,Peridiniales,-,-,-,-,Podolampadaceae,-,-,-,-,Podolampas,-,Podolampas bipes,-,,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa ,Alveolata,-,Myzozoa,Dinozoa,no,Dinoflagellata,no,-,-,Dinophyceae,-,-,-,-,-,-,Peridiniales,-,-,-,-,Protoperidiniaceae,-,-,-,-,Protoperdinium,-,Protoperdinium sp.,-,,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa ,Alveolata,-,Myzozoa,Dinozoa,no,Dinoflagellata,no,-,-,Dinophyceae,-,-,-,-,-,-,Peridiniales,-,-,-,-,Protoperidiniaceae,-,-,-,-,Protoperdinium,-,Protoperidinium depressum,-,,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa ,Heterokonta,-,Ochrophyta ,Phaeista,-,Monista,-,Hypogyristia ,-,Dictyochophyceae,-,-,-,-,-,-,Dictyochales,-,-,-,-,Dictyochaceae,-,-,-,-,Dictyocha,-,Dictyocha octonaria,-,,,,,,,,,,
,,,,,,,,,,,,Phytoplankton,Chromista,Harosa ,Heterokonta,-,Ochrophyta ,Phaeista,-,Monista,-,Hypogyristia ,-,Dictyochophyceae,-,-,-,-,-,-,Dictyochales,-,-,-,-,Dictyochaceae,-,-,-,-,Dictyocha,-,Dictyocha fibula,-,,,,,,,,,,