No.,Year,Group,Identification,Asset,Platform,Station,SurfaceShannon,SurfaceNumber,SurfaceMax,SurfaceEvenness,Euphotic_zoneShannon,Euphotic_zoneNumber,Euphotic_zoneMax,Euphotic_zoneEvenness,AverageShannon,AverageNumber,AverageMax,AverageEvenness
1,2022,Phytoplankton,Morphology,GBS,PPS,PPS1,3.09,47.00,3.85,0.80,2.83,53.00,3.97,0.71,3.04,58,4.06,0.75
2,2022,Phytoplankton,Morphology,GBS,PPS,PPS2,2.88,33.00,3.50,0.82,2.80,49.00,3.89,0.72,3,55,4.01,0.75
3,2022,Phytoplankton,Morphology,GBS,PPS,PPS3,2.79,34.00,3.53,0.79,3.18,38.00,3.64,0.87,3.14,46,3.83,0.82
4,2022,Phytoplankton,Morphology,ART,APP,APP1,2.99,32,3.47,0.86,1.65,28,3.33,0.49,0,0,0,0
5,2022,Phytoplankton,Morphology,ART,APP,APP2,2.82,24,3.18,0.89,0.71,22,3.09,0.23,0,0,0,0
6,2022,Phytoplankton,Morphology,ART,APP,APP3,2.82,32,3.47,0.81,0.69,25,3.22,0.22,0,0,0,0
7,2022,Phytoplankton,Morphology,GBN,PP,PP1,2.87,28,3.33,0.86,1.38,26,3.26,0.42,0,0,0,0
8,2022,Phytoplankton,Morphology,GBN,PP,PP2,2.86,28,3.33,0.86,1.05,24,3.18,0.33,0,0,0,0
9,2022,Phytoplankton,Morphology,GBN,PP,PP3,3.01,31,3.43,0.88,0.96,18,2.89,0.33,0,0,0,0
10,2022,Phytoplankton,Morphology,GBS,WPS6,WPS6-1,2.39,22,3.09,0.77,1.61,27,3.3,0.49,0,0,0,0
11,2022,Phytoplankton,Morphology,GBS,WPS6,WPS6-2,2.64,27,3.3,0.8,1.91,27,3.3,0.58,0,0,0,0
12,2022,Phytoplankton,Morphology,GBS,WPS6,WPS6-3,2.56,25,3.22,0.79,1.64,23,3.14,0.52,0,0,0,0
13,2022,Phytoplankton,Morphology,ART,AWP1N,AWP1N-1,2.82,29,3.37,0.84,1.2,23,3.14,0.38,0,0,0,0
14,2022,Phytoplankton,Morphology,ART,AWP1N,AWP1N-2,2.83,29,3.37,0.84,1.37,22,3.09,0.44,0,0,0,0
15,2022,Phytoplankton,Morphology,ART,AWP1N,AWP1N-3,2.86,30,3.4,0.84,1.73,26,3.26,0.53,0,0,0,0
16,2022,Phytoplankton,Morphology,GBN,WP37,WP37-1,2.72,31,3.43,0.79,1.59,21,3.04,0.52,0,0,0,0
17,2022,Phytoplankton,Morphology,GBN,WP37,WP37-2,2.74,29,3.37,0.81,1.17,22,3.09,0.38,0,0,0,0
18,2022,Phytoplankton,Morphology,GBN,WP37,WP37-3,2.91,28,3.33,0.87,1.12,17,2.83,0.39,0,0,0,0